GI? MUA,GI? B?N,Buy,Sell
6015,6055,0,0
6010,6050,-0.00036116,-0.000358773
6020,6060,0.000722019,0.00071725
6040,6080,0.001440447,0.001430955
6065,6095,0.001793867,0.001070131
6070,6110,0.000357886,0.0010675
6090,6130,0.001428602,0.001419264
6080,6120,-0.000713713,-0.000709052
6040,6080,-0.002866641,-0.002847843
6075,6115,0.002509344,0.002492882
6060,6105,-0.001073658,-0.000710793
6090,6125,0.002144668,0.001420425
6090,6125,0,0
6100,6135,0.000712542,0.000708474
6110,6145,0.000711375,0.00070732
6085,6120,-0.001780628,-0.001770465
6100,6140,0.001069252,0.001416949
6115,6150,0.001066626,0.000706745
6110,6140,-0.000355251,-0.000706745
6110,6140,0,0
6120,6160,0.000710212,0.001412341
6115,6150,-0.000354961,-0.000705596
6120,6155,0.000354961,0.000352941
6090,6135,-0.00213413,-0.00141349
6110,6140,0.001423918,0.000353804
6110,6140,0,0
6110,6140,0,0
6110,6145,0,0.000353516
6105,6140,-0.000355542,-0.000353516
6070,6110,-0.002496977,-0.002127161
6080,6120,0.000714888,0.000710212
6115,6150,0.002492882,0.002123694
