Buy,Sell
0.001099944,0.001088913
0.002919638,0.002169669
0.004342981,0.005020801
-0.000360261,-0.001786487
-0.001082579,-0.001075431
0.00036116,0.000358773
0,0
-0.00036116,-0.000358773
0.000722019,0.00071725
0.001440447,0.001430955
0.001793867,0.001070131
0.000357886,0.0010675
0.001428602,0.001419264
-0.000713713,-0.000709052
-0.002866641,-0.002847843
0.002509344,0.002492882
-0.001073658,-0.000710793
0.002144668,0.001420425
0,0
0.000712542,0.000708474
0.000711375,0.00070732
-0.001780628,-0.001770465
0.001069252,0.001416949
0.001066626,0.000706745
-0.000355251,-0.000706745
0,0
0.000710212,0.001412341
-0.000354961,-0.000705596
0.000354961,0.000352941
-0.00213413,-0.00141349
0.001423918,0.000353804
0,0
0,0
0,0.000353516
-0.000355542,-0.000353516
-0.002496977,-0.002127161
0.000714888,0.000710212
0.002492882,0.002123694
