Buy,Sell
-0.000380126,-0.000375525
0.003031736,0
-0.000377812,0
0.00113245,0.001125602
0.00075333,0.000748784
-0.001130485,-0.000748784
-0.000377483,-0.000374877
-0.00265161,-0.002633236
0.000379794,-0.000377483
0.000758593,0.000754639
0.0003788,0.000376828
0.001134422,0.001504052
0.000754639,0.000750077
0,0.000374553
0.001505355,0.000748139
0,-0.000373908
-0.000752025,-0.000374231
0.000752025,0.000748139
0.001500155,0.001864728
0,0.000148833
-0.000374553,-0.000521139
0.000748784,0.000744292
-0.000374231,-0.001116917
-0.000374553,0
-0.000374877,0
0.00074943,0.000372625
0.001121726,0.001115961
-0.000897148,-0.001115961
0.001270414,0.001487311
0.001117876,0.00074175
0,0
0.001486039,0.001848851
0.002219568,0.00257524
0.000737342,0.000732987
0.004397956,0.005096557
0.001819418,0.002885688
0.002895307,0.001435686
-0.00108348,-0.000358477
0.0018043,0.001789432
0.00643411,0.008137731
-0.000354961,-0.001404349
0.000354961,-0.000351798
-0.008600172,-0.006381585
-0.004364805,-0.006476757
-0.000365722,-0.000725638
-0.000732369,0
-0.000733606,-0.000363274
